"";"NeighborhoodRaw";"ApartmentTypeRaw";"HouseType";"SquareMeters";"Price";"PricePerSquareMeters";"YearBuilt";"FloorRaw";"ElevatorRaw";"ConditionRaw";"EnergyClassificationRaw";"NeighborhoodKeys";"NeighborhoodFinalized";"ApartmentTypeUniformized";"NumberOfRooms";"SaunaDummy";"ownFloor";"maxFloor";"ElevatorDummy";"ConditionUnrecordedDummy";"ConditionAdequateDummy";"ConditionGoodDummy";"AgeOfTheBuilding";"EnergyClassificationLetterClass";"EnergyClassificationADummy";"EnergyClassificationBDummy";"EnergyClassificationCDummy";"EnergyClassificationDDummy";"EnergyClassificationEDummy";"EnergyClassificationFDummy";"EnergyClassificationUnrecordedDummy";"ownFloor.fixed";"TwoRoomsDummy";"ThreeRoomsDummy";"FourRoomsOrMoreDummy"
"1";"Pohjois-haaga";"1 h, kk, kph";"kt";24,5;132000;5388;1956;"9/10";"on";"tyyd.";"E2018";"pohjois-haaga";"Haaga";"1h+kk+kph";1;0;9;10;1;0;1;0;62;"E";0;0;0;0;1;0;0;9;0;0;0
"2";"Taka-töölö";"1h, kk, alk., kh";"kt";32;240000;7500;1937;"2/6";"on";"tyyd.";"E2007";"taka-töölö";"Taka-Töölö";"1h+kk+alk.+kh";1;0;2;6;1;0;1;0;81;"E";0;0;0;0;1;0;0;2;0;0;0
"3";"Punavuori";"1h, kk, kph";"kt";25;210000;8400;1952;"5/4";"on";"tyyd.";"";"punavuori";"Punavuori";"1h+kk+kph";1;0;5;4;1;0;1;0;66;"";0;0;0;0;0;0;1;5;0;0;0
"4";"Sörnäinen";"1h+tk+s";"kt";39;233000;5974;1939;"5/8";"on";"hyvä";"E2013";"sörnäinen";"Sörnäinen";"1h+tk+s";1;1;5;8;1;0;0;1;79;"E";0;0;0;0;1;0;0;5;0;0;0
"5";"Kallio";"1h, kk, kph";"kt";19,5;154000;7897;1907;"2/4";"ei";"hyvä";"F2013";"kallio";"Kallio";"1h+kk+kph";1;0;2;4;0;0;0;1;111;"F";0;0;0;0;0;1;0;2;0;0;0
"6";"Harju";"1h+ks+kh+et";"kt";20;109000;5450;1941;"1/4";"on";"huono";"";"harju";"Alppiharju";"1h+ks+kh+et";1;0;1;4;1;0;0;0;77;"";0;0;0;0;0;0;1;1;0;0;0
"7";"Etelä-haaga";"1h, kk, kph, pa...";"kt";25;186000;7440;1961;"2/3";"ei";"hyvä";"F2013";"etelä-haaga";"Haaga";"1h+kk+kph+pa...";1;0;2;3;0;0;0;1;57;"F";0;0;0;0;0;1;0;2;0;0;0
"8";"Etelä-haaga";"1h, kk, kph";"kt";32,5;188000;5785;1961;"2/4";"on";"tyyd.";"D2007";"etelä-haaga";"Haaga";"1h+kk+kph";1;0;2;4;1;0;1;0;57;"D";0;0;0;1;0;0;0;2;0;0;0
"9";"Sörnäinen";"1h, avokeitti...";"kt";33;236000;7152;1927;"5/7";"on";"tyyd.";"D2007";"sörnäinen";"Sörnäinen";"1h+avokeitti...";1;0;5;7;1;0;1;0;91;"D";0;0;0;1;0;0;0;5;0;0;0
"10";"Kluuvi";"1h, k, kph";"kt";40;350000;8750;1906;"2/4";"ei";"hyvä";"G2013";"kluuvi";"Kluuvi";"1h+k+kph";1;0;2;4;0;0;0;1;112;"G";0;0;0;0;0;0;0;2;0;0;0
"11";"Kallio";"1h, k, kph, eri...";"kt";42;228000;5429;1937;"6/7";"on";"tyyd.";"D2007";"kallio";"Kallio";"1h+k+kph+eri...";1;0;6;7;1;0;1;0;81;"D";0;0;0;1;0;0;0;6;0;0;0
"12";"Meilahti";"1h, kk, kph";"kt";21;173500;8262;1945;"3/7";"on";"hyvä";"E2013";"meilahti";"Meilahti";"1h+kk+kph";1;0;3;7;1;0;0;1;73;"E";0;0;0;0;1;0;0;3;0;0;0
"13";"Torkkelinmäki";"1h+kk+kph";"kt";26;214000;8231;1928;"2/4";"ei";"hyvä";"F2007";"torkkelinmäki";"Kallio";"1h+kk+kph";1;0;2;4;0;0;0;1;90;"F";0;0;0;0;0;1;0;2;0;0;0
