X,Y,KAUPUNGINO,KAUPUNGI_1,KAUPUNGI_2,kosanimi,kosa_ruots,suuralue,id,aluejako,kunta,tunnus,nimi_fi,nimi_se,yhtluontip,yhtmuokkau,yhtdatanom,paivitetty,nimiYhd,idYhd,join_id,distance,roadDistanceToCenter,roadDistanceToCenterKm
25480130.2306466,6680066.9131198,72,KARHUSUO,BJÖRNKÄRR,,,,0,,,,,,,,,,KARHUSUO,1,1,7259.3373204198,20603.6,20.6036
25477813.1050825,6680658.05431609,74,NUPURI,NUPURBÖLE,,,,0,,,,,,,,,,NUPURI,2,1,6962.9609126537,22884.5,22.8845
25485471.9476249,6679465.55771268,61,VIHERLAAKSO,GRÖNDAL,,,,0,,,,,,,,,,VIHERLAAKSO,3,1,5338.8616251182,14454.6,14.4546
25474303.71683,6680180.12397933,91,ÄMMÄSSUO,KÄRINGMOSSEN,,,,0,,,,,,,,,,ÄMMÄSSUO,4,1,6676.7752194078,28167.8,28.1678
25487254.4146087,6678166.66530148,54,KILO,KILO,,,,0,,,,,,,,,,KILO,5,1,3134.1773109133,12225.3,12.2253
25484071.855691,6679748.13171887,62,LIPPAJÄRVI,KLAPPTRÄSK,,,,0,,,,,,,,,,LIPPAJÄRVI,6,1,6637.4726776264,16959.2,16.9592
25490080.4757943,6678502.9811116,51,LEPPÄVAARA,ALBERGA,,,,0,,,,,,,,,,LEPPÄVAARA,7,1,1609.6377882996,9877.91,9.87791
25478739.0388506,6678093.65142528,71,GUMBÖLE,GUMBÖLE,,,,0,,,,,,,,,,GUMBÖLE,8,1,4854.8928754952,21637.7,21.6377
25481924.8704685,6678546.35747973,64,KARVASMÄKI,KARVASBACKA,,,,0,,,,,,,,,,KARVASMÄKI,9,1,7235.6647475134,17962.6,17.9626
25481802.9227907,6676715.92490194,40,ESPOON KESKUS,ESBO CENTRUM,,,,0,,,,,,,,,,ESPOON KESKUS,10,1,5696.7949891426,17699.2,17.6992
25484419.1906045,6676898.81031079,55,SEPÄNKYLÄ,SMEDSBY,,,,0,,,,,,,,,,SEPÄNKYLÄ,11,1,5202.8536284604,14936.5,14.9365
25475339.142777,6677185.5251588,70,ESPOONKARTANO,ESBOGÅRD,,,,0,,,,,,,,,,ESPOONKARTANO,12,1,3508.7974008885,25120.2,25.1202
25488948.3353815,6676650.18833176,17,LAAJALAHTI,BREDVIK,,,,0,,,,,,,,,,LAAJALAHTI,13,1,869.8013929888,10106.7,10.1067
25486510.2359505,6675817.28680222,26,MANKKAA,MANKANS,,,,0,,,,,,,,,,MANKKAA,14,1,3036.3412445923,12503.1,12.5031
25483092.1401116,6670805.48994706,31,KAITAA,KAITANS,,,,0,,,,,,,,,,KAITAA,15,1,861.8525665239,14934.2,14.9342
25480396.1420604,6670713.62676758,34,ESPOONLAHTI,ESBOVIKEN,,,,0,,,,,,,,,,ESPOONLAHTI,16,1,715.0273586853,17291.9,17.2919
25485711.6188827,6671403.20199836,23,MATINKYLÄ,MATTBY,,,,0,,,,,,,,,,MATINKYLÄ,17,1,769.7966916056,12271.9,12.2719
25482005.335081,6668836.50775395,33,SOUKKA,SÖKÖ,,,,0,,,,,,,,,,SOUKKA,18,1,711.2985040884,17486.1,17.4861
25483524.1629435,6667017.35758378,32,SUVISAARISTO,SOMMARÖARNA,,,,0,,,,,,,,,,SUVISAARISTO,19,1,228.1112361836,21958,21.958
25484834.9101156,6685480.30298371,82,PERUSMÄKI,GRANDBACKA,,,,0,,,,,,,,,,PERUSMÄKI,20,1,10270.3038264895,20519,20.519
25489883.5889136,6680784.40372942,50,LINTUVAARA,FÅGELBERGA,,,,0,,,,,,,,,,LINTUVAARA,21,1,3695.1770829541,11817.1,11.8171
25485634.5904838,6682686.84435417,80,VANHAKARTANO,GAMMELGÅRD,,,,0,,,,,,,,,,VANHAKARTANO,22,1,7563.540833108,19301.3,19.3013
25482915.4891293,6683608.48219366,83,BODOM,BODOM,,,,0,,,,,,,,,,BODOM,23,1,10035.9419285229,21189,21.189
25486560.2449809,6681397.49170939,60,LAAKSOLAHTI,DALSVIK,,,,0,,,,,,,,,,LAAKSOLAHTI,24,1,5984.970875062,14796.6,14.7966
25476754.4419605,6686814.88706568,78,NUUKSIO,NOUX,,,,0,,,,,,,,,,NUUKSIO,25,1,12979.4088615304,29525.7,29.5257
25487810.6884975,6679984.82266785,57,KARAKALLIO,KARABACKA,,,,0,,,,,,,,,,KARAKALLIO,26,1,4098.7087851958,12795.5,12.7955
25483665.0664381,6680616.27593895,63,JÄRVENPERÄ,TRÄSKÄNDA,,,,0,,,,,,,,,,JÄRVENPERÄ,27,1,7475.5954681463,17555.1,17.5551
25487411.7649978,6672142.82017747,14,HAUKILAHTI,GÄDDVIK,,,,0,,,,,,,,,,HAUKILAHTI,28,1,484.4840905909,10239.6,10.2396
25479520.4289789,6672667.8193776,42,SAUNALAHTI,BASTVIK,,,,0,,,,,,,,,,SAUNALAHTI,29,1,1178.9569870798,18637.2,18.6372
25482346.929827,6672433.19827213,30,NÖYKKIÖ,NÖYKIS,,,,0,,,,,,,,,,NÖYKKIÖ,30,1,2641.6223844386,15406.1,15.4061
25475787.9548103,6680144.59236158,75,KOLMPERÄ,KOLMPERS,,,,0,,,,,,,,,,KOLMPERÄ,31,1,6333.6901652804,26491.6,26.4916
25482926.9808572,6688971.81849237,86,LUUKKI,LUK,,,,0,,,,,,,,,,LUUKKI,32,1,14236.0446903326,24052.9,24.0529
25478779.2147308,6689360.95310257,88,VELSKOLA,VÄLLSKOG,,,,0,,,,,,,,,,VELSKOLA,33,1,15702.1599728399,28504.9,28.5049
25481700.7297758,6686684.8975061,84,RÖYLÄ,RÖDSKOG,,,,0,,,,,,,,,,RÖYLÄ,34,1,13166.2881248712,24680.2,24.6802
25483872.311319,6691452.29082187,87,LAHNUS,LAHNUS,,,,0,,,,,,,,,,LAHNUS,35,1,15929.7701509345,23921.7,23.9217
25474664.1981722,6684561.06869619,76,SIIKAJÄRVI,SIIKAJÄRVI,,,,0,,,,,,,,,,SIIKAJÄRVI,36,1,10860.0254112502,28535,28.535
